Fecha,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
1999-04-26,21.85096,21.85096,21.85096,21.85096,21.85096,25.10196,21.85096,21.85096,25.10196,25.10196,25.10196,25.10196,25.10196,25.10196,25.10196,25.10196,25.10196,25.10196,25.10196,45.60196000000001,25.10196,25.10196,21.85096,25.10196
1999-04-27,19.97696,19.97696,19.97696,19.97696,19.97696,40.10196000000001,21.85096,21.85096,21.85096,21.85096,26.10196,26.10196,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,26.10196,45.60196000000001,26.10196,26.10196,31.10196000000001,21.85096
1999-04-28,19.90196,19.90196,19.90196,19.90196,20.10196,21.85096,19.90196,21.85096,21.85096,21.85096,21.85096,23.03596,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,24.10196,24.10196,23.03596,21.85096,21.85096,19.90196
1999-04-29,19.88196,19.88196,19.88196,19.88196,20.10196,21.85096,19.88196,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,24.10196,24.10196,21.85096,21.85096,21.85096,19.88196
1999-04-30,20.10196,20.10196,20.10196,20.10196,20.10196,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,26.10196,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,24.10196,24.10196,21.85096,21.85096,21.85096,20.10196
1999-05-01,21.85041,21.85041,20.09641,20.09641,20.09641,21.84941,19.99641,21.85041,21.85041,21.85041,21.85041,21.85041,21.85041,21.85041,19.99641,19.99641,21.85041,21.85041,21.85041,26.09641,21.85041,21.85041,21.85041,21.85041
1999-05-02,21.84941,21.84941,21.84941,21.84941,21.84941,21.84941,21.84941,21.84941,21.85041,21.85041,21.85041,21.85041,21.85041,21.85041,21.84941,21.84941,21.84941,21.85041,25.09641,30.09641000000001,25.09641,21.85041,21.85041,21.85041
1999-05-03,21.84941,21.84941,21.84941,21.85041,21.85041,21.85041,21.85041,21.85041,26.09641,21.85041,21.85041,26.09641,21.85041,21.85041,26.09641,26.09641,26.09641,30.09641000000001,26.09641,26.09641,26.09641,26.09641,26.09641,21.85041
1999-05-04,21.85041,21.85041,21.85041,21.85041,21.85041,30.09641000000001,26.09641,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,45.59641000000001,30.09641000000001,30.09641000000001,30.09641000000001,26.09641
1999-05-05,21.85041,21.84941,21.84941,21.84941,21.85041,26.09641,21.85041,21.85041,21.85041,21.85041,21.85041,26.09641,21.85041,21.85041,21.85041,21.85041,21.85041,26.09641,24.09641,26.09641,24.09641,21.85041,26.09641,21.85041
1999-05-06,23.59641,23.59641,23.59641,23.59641,23.59641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,40.59641000000001,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,23.59641
1999-05-07,23.59641,23.59641,23.59641,23.59641,23.59641,28.49641,23.59641,23.59641,28.09641000000001,23.59641,23.59641,28.09641000000001,28.09641000000001,23.59641,23.59641,23.59641,23.59641,23.59641,28.09641000000001,28.49641,23.59641,28.09641000000001,28.49641,23.59641
1999-05-08,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641
1999-05-09,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641
1999-05-10,23.59641,23.59641,23.59641,23.59641,23.59641,28.45441,23.59641,23.59641,23.59641,23.81941,28.45441,28.45441,28.45441,23.59641,23.59641,23.59641,23.59641,28.45441,40.59641000000001,40.59641000000001,28.45441,33.09641000000001,28.45441,23.59641
1999-05-11,23.59641,23.59641,23.59641,23.59641,23.59641,30.09641000000001,32.09641000000001,40.59641000000001,32.09641000000001,32.09641000000001,32.09641000000001,32.09641000000001,32.09641000000001,32.09641000000001,32.09641000000001,32.09641000000001,32.09641000000001,32.09641000000001,32.09641000000001,40.59641000000001,32.09641000000001,23.59641,32.09641000000001,23.59641
1999-05-12,23.59641,23.59641,23.59641,23.59641,23.59641,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,33.09641000000001,33.09641000000001,32.09641000000001,30.09641000000001,23.59641,23.59641
1999-05-13,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,23.59641,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,23.59641
1999-05-14,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,30.09641000000001,40.59641000000001,30.09641000000001,23.59641,23.59641,23.59641
1999-05-15,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,30.09641000000001,23.59641,23.59641,23.59641,23.59641
1999-05-16,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,33.09641000000001,36.09641000000001,36.09641000000001,23.59641,23.59641,23.59641
1999-05-17,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,33.09641000000001,23.59641,23.59641,29.59641000000001,29.59641000000001
1999-05-18,23.59641,23.59641,23.59641,23.59641,23.59641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,31.09641000000001,31.09641000000001,26.09641,26.09641,23.59641,23.59641
1999-05-19,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,26.09641,33.09641000000001,26.09641,26.09641,26.09641,23.59641
1999-05-20,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,31.09641000000001,31.09641000000001,36.53141000000001,36.53141000000001,31.09641000000001,23.59641,23.59641,23.59641,23.59641,23.59641,36.53141000000001,36.53141000000001,23.59641,23.59641,23.59641,23.59641
1999-05-21,23.59641,23.59641,23.59641,23.59641,23.59641,34.09641000000001,23.59641,23.59641,34.09641000000001,34.09641000000001,34.09641000000001,37.09641000000001,34.09641000000001,23.59641,23.59641,23.59641,23.59641,25.96241,38.79341,40.59641000000001,38.79341,34.09641000000001,25.96241,23.59641
1999-05-22,25.50841,23.59641,23.59641,23.59641,25.50841,23.59641,23.59641,23.59641,30.09641000000001,37.09641000000001,37.09641000000001,38.20341000000001,37.09641000000001,30.09641000000001,25.50841,23.59641,23.59641,25.50841,37.09641000000001,38.20341000000001,30.09641000000001,23.59641,23.59641,23.59641
1999-05-23,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641
1999-05-24,23.59641,23.59641,23.59641,23.59641,23.59641,28.09641000000001,23.59641,23.59641,23.59641,25.07741,28.09641000000001,33.09641000000001,28.09641000000001,23.59641,23.59641,23.59641,23.59641,23.59641,28.09641000000001,33.09641000000001,28.09641000000001,23.59641,29.59641000000001,23.59641
1999-05-25,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,37.09641000000001,40.51441000000001,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,33.09641000000001,40.51441000000001,33.09641000000001,23.59641,23.59641,23.59641
1999-05-26,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.69641,24.89141,30.09641000000001,36.09641000000001,40.59641000000001,40.59641000000001,36.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,36.09641000000001,40.59641000000001,36.09641000000001,23.59641,32.09641000000001,30.09641000000001
1999-05-27,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,30.09641000000001,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,36.09641000000001,40.59641000000001,36.09641000000001,23.59641,23.59641,23.59641
1999-05-28,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,36.09641000000001,40.59641000000001,36.09641000000001,23.59641,23.59641,23.59641
1999-05-29,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,37.09641000000001,36.09641000000001,36.09641000000001,37.09641000000001,36.09641000000001,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,39.98541000000001,37.09641000000001,23.59641,23.59641,23.59641
1999-05-30,30.09641000000001,23.59641,23.59641,23.59641,23.59641,30.09641000000001,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,23.59641,31.59641000000001,23.59641,23.59641,30.09641000000001,23.59641
1999-05-31,23.59641,23.59641,23.59641,23.59641,23.59641,24.09641,24.09641,24.09641,24.09641,24.09641,39.98541000000001,24.09641,24.09641,23.59641,23.59641,23.59641,23.59641,23.59641,24.09641,39.98541000000001,24.09641,29.59641000000001,23.59641,23.59641
1999-06-01,27.64542,25.73142,25.73142,25.73142,25.40042,25.70042,25.70042,25.70042,36.70042,27.64542,42.70042,27.64542,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,42.70042,25.70042,30.70042,30.70042,30.70042
1999-06-02,36.20042,36.20042,36.20042,36.20042,25.70042,25.70042,42.70042,36.70042,42.70042,42.70042,42.81942,42.70042,36.70042,36.70042,30.11442,30.11442,30.11442,30.11442,36.70042,42.81942,42.70042,30.11442,25.70042,25.70042
1999-06-03,34.70042,34.70042,34.70042,34.70042,25.70042,25.70042,34.70042,34.70042,34.70042,34.70042,35.20042,35.20042,34.70042,30.98742,30.98742,30.98742,30.98742,25.70042,35.20042,42.70042,35.20042,36.20042,35.70042,34.70042
1999-06-04,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,34.70042,35.70042,34.70042,25.70042,25.70042,25.70042
1999-06-05,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,33.30042,34.70042,33.30042,33.30042,25.70042,25.70042
1999-06-06,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,25.70042,30.70042,25.70042,25.70042,25.70042,25.70042
